提交时间（自动）,整合包名称（必填）,你的评分,你的评论（必填）,你的玩家ID,是否名称敏感（必填）,提交者（自动）
2025年2月16日 16:39,创造101,8.00 ,官方包时代之前出现的机械动力整合包，任务线的风格与官方包完全不同，但也十分有趣。体量很小，但魔改量相对而言较大，数值平衡合理。物资来源全部依靠产线，和平都可以玩，缺点则是完全没有引导。,仄尚,否,墨丶摆烂丶安
2025年2月16日 16:41,神圣之旅2,0,"几乎没有数值提升反馈的集成动力教学包，物资基本依靠产线解决，下单需求不算多。但是集成动力有概率断网导致所有元件失效，解决办     法是一个个拆掉一根线重放，我在25章的时候遇到这个bug导致上百个元件损坏，实在不想修了就弃坑了，所以没法评价。集成动力卡输入槽，农业工业杂交，烧原质，稳定裂缝，产各种等级石板，泡水晶石等都是很优秀的方案，我开发的也只是冰山一角，是一个很有意思的mod。

     除此之外，百级星辉的加点也很有意思，刷级和常规情况下用的build不同。刷级要点未使用点数转叠增，然后维持两个星能力乘区相近(简单的二次函数应用)。普通情况点经验获取转星能力效果，斩杀，身躯隔绝，把叠增的全部点了，增长的从高到低点(经验获取除二），这样在91点数的时候达到满血斩杀的效果，穿上三件无耐久装备相当于无尽套，剩下的随意发挥，要加点图的可以找我。",寻,否,墨丶摆烂丶安
2025年2月16日 16:42,GTNH,9.50 ,"有TST和boxplusplus附属给9.5，扣0.5在uev后完成度不够上。科技包里内容量最大的，可玩性毋庸置疑，上千小时的游戏流程在整合包领域中一骑绝尘。如果你想学习ae2的网络结构设计，那么gtnh一定是你的最佳选择，我在管理数千个频道的过程中时候设计过三四种网络结构，虽然是一段痛苦的日子但对数十个大小网络的恰当分布规划，独立网络的适用场景和容易造成延迟增大的雷区的理解都有了充分的进步，就像只会抄投影并不是理解红石元件和更新机制，会修机器才是。但仍然不是终点，即使我与ae2接触了将近1500小时仍然能体会到理解的局限。nh在gt和ae2的联动领域是独一档的存在，它的三种多方块输入输出总线仓室(存储输入，me输出，样板总成)都可以做到和ae网络的直接交互，没有输入总线啊，me接口啊，管道之类的中间缓存，处理频率大大提高，而且1t最大交互数量是int上限(2.1x10^9)，(不过270好像有long总成，一次交互数量上限变成9223372036854775807了）。但冒险要素的加入完全多余，并没有什么有意义的联动性。270后原版有了神之锻炉，九合一也被拆分了生产力好像也算可观，并持续做了很多人性化的小设计，如果关注过版本更新就能知道nh的优化是非常频繁的，无论是angelica对帧数的优化，还是各种小功能对实际生产过程的帮助，还加入了许多高版本的物品和材质(比如粗矿)，配合高版本材质包基本可以复刻leisure的ui和交互，但是我没体验过不敢打分，9.5仅限于2.6.0的TST和盒武器的私货版本。

gt系的整合包是偏向经营的，(新增评价：八级净化水在产线内容中加入了一定的数电知识，对逻辑门电路或者opencomputer的理解都有较高的要求，在单个环节难度上限超过了星阵共用，现在难度和挂机时间都有了，虽说直接抄作业也可以，但是这样包里为数不多的难度要素都没了，抛弃了工业包的自动化精髓然后又要被你们诟病堆量啊，经典换地图升级木棒打小龙虾啊)它的难度主要分布在对ae2网络的整体结构设计，以及不同大小规模产区的规划，只需要按部就班的根据引导来建设，可偷鸡的环节几乎没有，所以你很少遇到“还有这种操作”的情况。被诟病更多的是配方的运行时长造成的长挂机时间，(如果uev后的配方时间能减两个0我就直接当nh孝子），现阶段推荐安装TST附属优化后。

整合包的玩法一半是gt一半是ae，硬性要求熟练使用ae2，要对ae2的绝大多数基础元件的功能都全面了解，最好能有建造上千个频道的ae网络经验，懂得不同网络间物品/流体的多种读取，存储，运输等交互的方法。需要习惯对几百种以g为基本单位(10^9）的基础资源进行动态管理(某种资源用什么线路获取，多了怎么处置，是回收还是丢掉，存储的成本值不值得），对下单制作和被动产线的取舍(这套产线有没有下一阶的配方，现在做被动产线还是憋到下一级的机器)，对换能源仓超频还是堆堆乐物理并行成本投入的权衡，对电网功率的计算以及线路的区块规划(基地一般有上千个区块)。

还要会使用简单的红石逻辑门，ae元件以及覆盖版的配合(oc和sfm会抄就行）进行有目的性的原料输入，并在这个过程中能够总结出一些实用小技巧，比如同一格内的发信器能控制插了红石卡的ae输出总线，一格内的机器控制覆盖版可以控制传送带和泵(勾选与机器状态同步)，以及绝缘红石导管可以选择强充能，逻辑门都是强充能，红石信号接收器(内)可以直接控制多方块机器主方块的的开关等。

使用ae的高级卡(矿典过滤卡，高级阻挡卡，粘性卡等)能有效提高设计产线的精简度以及效率。除此之外，了解nei的大多数功能，find me，omni高亮显示的拓展等辅助都能极大优化游戏体验。

学会ae下单卡住了如何排查？机器跳电了怎么排查？是供电不够，还是存储输入仓的读取，还是消声仓被堵住，或者是机器参数设置不对。多方块机器为什么不成型？是缺少了哪一种仓室。机器为什么不工作？是总线隔离还是编程电路的设置。写了样板但是提示缺少原料怎么排查？是样板矿词问题还是接口缺少频道。除此之外，还要分析下单过程中哪一步最拖进度，是机器做的慢还是ae发的慢？机器做的慢解决方法有给机器超频？超频的话是否无损？或者物理并行？并行方法是多个me接口，还是接口发物品到缓存网络中配合存储输入仓室？ae发的慢是换更大的输入总线给样板翻倍？翻倍要翻多少，还是换样板输入总线？因为样板输入总线自带输入隔离，所以要考虑过程中是否有流体的参与，当然到uev就能全换样板输入总成了。

并行中可以考虑单独网络统一存储输入总线/仓来管理物品的平均发配(堆进阶装配线)。
长流程产线可以使用单独网络直接管理每一环节的机器，例如铂处理这种非线性流程不一定要用流水线结构，可以把每一步的产物都导进单独的ae网络里，哪个剩的多就加大哪一步的功率，流水线结构也容易因为莫名其妙的原因堵住，分布式处理拓展性也比较强，冗余性是设计要考虑的一个重要因素。和资源存储网络互相读，这样也方便缓解一个网络频道太多的问题
核反应堆的sfm控制，溶解罐的定量发配，天气方尖碑的oc控制，血魔法祭坛的oc控制，坠星标位的oc控制，细菌培养缸的半满控制，鸿蒙之眼的伪合成封包批量(封包得用普通的样板终端写，流体终端会识别成流体超过int上限发不动）以及后续星阵的共用都是需要精细化设计的环节 ，学习这些有助于理解mod的基础运行机制。

最重要的是要学会阅读wiki，获取新鲜的内容与游戏机制，以及他人的思路进行对比反思，也是游戏一大乐趣所在。
",寻,否,墨丶摆烂丶安
2025年2月16日 16:43,GTNH,,"先叠个甲，咱是第一次玩GTNH，格雷也算某种意义上的第一次玩，所以有些地方讲的可能不是很恰当，望理解。主要以格雷新人的视角来讲讲前期（蒸汽-HV），因为还在玩所以后面会继续追评，不过其实更偏向玩整合包时的一些小建议。
首先，GTNH的任务书是我见过的写的最好的任务书，没有之一，遇事不决翻翻任务书总能找到你想知道的，其次是中文wiki和NEI，因为nh改了很多基础物品的合成表，某个原版物品合成不出来就去NEI查一下吧（前期深受其害）。
物品制作方面，nh前期的物品基本全靠手搓，因为AE是EV的东西。马达，电路板这种基础物品做个一两组用准没错，当然建议等有更便宜的出材料方式后再一次搓个一两组（不会有人线材轧机都没做就搓了一组马达吧），由此挖矿的话建议一次就直接掏空一个矿脉。
然后是科技线，几个跨阶段的结构一个比一个重量级，比如被称为黏土奇点的土高炉，还有工业高炉，这东西贯穿整合包的前中后期，工业高炉的耗材以及用电量都很大，不过前期家附近油田比较多的话供电并不是什么大问题，当然也可以选择用大众生物学的方式供电（大苯环神教，小子），用一个树场去生产苯以此发电。
GT前期最废脑子的还是化工，极大地考验玩家对产线和基地的规划，一个不好就是管道森林，个人觉得HV以及HV前最难的是高十六产线（咱自己硝酸和乙烯酮都用的大众生物学）。值得一提的是整合包前期给玩家提供了两条化工路线选择：生物和石化线，两者产物基本互通。生物线胜在可再生，但是产线制造难度大，产速较慢，石化线制作相对比较容易，是最快能得到反馈的方案，但是油是不可再生的，采完就没了。
进入暮色后就可以开始发展神秘时代4了，但是魔法的话并不是必须发展的，不过发展的话能加快前期推科技的速度，还有很多好用的东西，个人觉得还是可以玩玩的，其次神秘4与高版本的神秘有挺大区别的，多找找教程，玩熟了其实还挺有意思的。
后面的等进IV了再写（",mrslouzk,否,墨丶摆烂丶安
2025年2月16日 16:43,GTNH,,想不明白他一个科技包加那么多怪物模组有啥用，第一晚只能挖三填一,Epiphany123_,否,墨丶摆烂丶安
2025年2月16日 16:44,玄理2,8.00 ,"前期特别难受，有季节，口渴值和温度，甚至是根源魔法开局，但是越到后面越顺甚至做毕业物品的时候都不需要注意当前的产能，一步步就直接把毕业物品做出来了，难度基本是线性上升的，是后期平衡不错的包。

自定义内容：多方块较多，玩法单一就几个输入输出，关键丑得要死。

优化和游玩建议：优化特别好，后期也基本不卡。到你要做一个叫“盖亚水晶”的东西（只是借植物魔法的名字），这个地方就是这个包后期比较赤石的一点，靠运气，要是种子不好抽到的灰烬量大，那你就要花很长时间用泰拉粉碎者挖方块搞灰烬，但是还是建议半自动化手搓四组盖亚水晶，可以用到你能用别的配方做他为止。",Eleso_Lydian,否,墨丶摆烂丶安
2025年2月16日 16:45,冬季救援,7.00 ,"放在当年称得上是较为新颖的设定，前期能做的事情十分有限，需要快速发展工业则要向外探索。
由于暴风雪的设定，以及地图上全是雪，较难找到有价值的建筑物，特别是看多了后容易引起雪盲症；
前期过渡到中期的一段时间较为合理，到中期后则需要大量的低级热能塔套娃，没有热能塔会使大部分产线很难正常运转，又由于低级塔的作用范围极其有限
所以这个阶段只能通过堆量来获取热能。中期过渡到后期时基本衣食无忧，此时高级热能塔也逐渐完善，但是依然逃不过科技包套娃的命运。
在我看来此科技包能够做到高级热能塔量产已经算是毕业通关，毕竟这后面的产线涉及到了很多原材料与燃料等大型产线，综合得分，7分。",amadeus,否,墨丶摆烂丶安
2025年2月16日 16:45,冬季救援,7.00 ,"技术力毋庸置疑，机制的创新也很不错，但是个人感觉整个包的底层逻辑有大问题。
   总体来说，引入的天气-温度系统和科研系统无疑是一个非常新颖的点子，也是整个流程的核心。从整个流程来看，玩家的目标是在严寒中生存下去，        并且发展工业，为此添加的科研系统也很有创意，个人来说，这套系统的互动机制是我目前见过最适合Minecraft的，既不会因为挂机攒科研而造成空窗期，同时也体现了生产力的发展，甚至还能益智（我要成为连连看大蛇😋），作为一个能近似“即研即用”的机制，科研系统的设计是非常巧妙的（如果去掉体力限制，将会是绝杀，可惜去不得）。
然而，从游戏开发的角度来看，这个包的全线都是以惩罚机制为驱动的，这一点会带给玩家一种奇异的坐牢感，因为游玩过程中得到的正反馈几乎全部来自于惩罚的减少。并且由于游戏流程中任务隐藏进度和未知的科研树，更增加了玩家对整个游戏流程的不确定感，除此之外，截止到2025年1月10日，游戏内仍然有大量的未完成内容，这些要素混杂在一起，难免使得玩家在游玩过程中产生“一眼望不到头”的感觉。
综上：
起评分5
天气-温度系统 +1
科研系统 +3
惩罚性驱动 -2",巨型咸鱼,否,墨丶摆烂丶安
2025年2月16日 16:46,新型工程,10.00 ,"整体体验：前期爽，中期顺，后期挑战性尚可。这包前期真的没法说，开局送全套ae，直接跳过手搓阶段。
自定义内容：这包自定义内容是真的多，把多方块玩出花了，什么并行处理器，模块总线，ME机械样板总线，HyperNet网络，多方块玩法丰富（你看人家新星1.12的包模块化功能做的比高版本的还好玩丰富，也不赶紧学学），大部分多方块也都很好看，后期的多方块比较大，但是没有e6e的那些大，属于小而美（？。而且核心模组加的那几个多方块AE帅炸了，功能性也好，整合包还在持续更新，平衡也不错，喜欢科技包的绝对要试试。
一些私货：我个人特别喜欢星辉魔法mod，这个包星辉戏份特别多，前期产矿，中期做一些阶段性物品，后期产矿，产生物掉落物，产植物都可以靠星辉，星座的存在感非常高。
优化以及游玩建议：带Cleanroom，用这个版本的话优化也巨好。虽然是1.12的包，但是很多内容都是社区板从高版本移植的，又可以体验高版本内容还可以玩高版本没有的mod这不爽炸。如果要玩的话，除非必要，建议主世界当基地，不要去虚空世界建基地有bug会不加载，建议加群，里面有很多教程，不懂的也可以问。",Eleso_Lydian,否,墨丶摆烂丶安
2025年2月16日 16:46,新星工程,9.50 ,"爽 这才是科技包，起手送全套ae，流程丝滑，主线明确，自动化全面，没有太多对产线设计的考验，自制的ae上位eco系列，完爆原版ae的cpu、硬盘、分子，随便担当后期超大量的合成、存储需求，又帅又好用。优化优秀，只要你别总是一堆桶子，小机器堆在一个地方，合理规划基地，后期开着光影的帧数依旧能看。
该包对模组魔改偏小，没有用大幅修改模组配方的方法来构成任务线，而是选择了自定义了大量的结构、配方和物品作为发展路线，同时大部分的小型机器都有精致多方块结构上位替代，包括炉子、合金炉、mek的化工机器，甚至是植魔的魔力池、精灵门都有无脑自动化的多方块版本，血魔法也有自动源质、自动意志、和byd浴火熔炉的自动化多方块上位。龙研毕业后可以给对应的多方块结构升级来执行批量配方，不用等他那个破聚合。大工作台、星辉、龙研也可以用封包合成来完成非常简单的自动化，挂机需求不高，到了大后期才会有没事干，挂机等缓慢配方的时候，开局发展到中后期过程中总能找到事做。
由于对模组改动小，使得精通各模组的各路仙人都有发挥空间，什么星辉矿机，植魔矿机，时钟座加速小机器，加速太阳能倍速发电之类米奇妙妙思路得以发挥，诸如烈焰棒磨烈焰粉合烈焰棒左手倒右手，加磨珠越磨越多这种如蜜传如蜜配方也有所保留，根本不用担心这类小寄巧影响平衡性游戏寿命什么的，因为任务流程足够长，自定义体量足够大。
0.5分扣在一些强制手搓和并行阶段不合理，譬如地磁的小材料，防爆石之类的必须通过工程师装配台大量手搓，套娃太阳能板手搓能省大量材料。多方块结构的并行简单理解就是塞一个并行控制器，越高级这个多方块结构就能同时运作越多配方，前中期并行又难做又弱，16并行解锁时间太晚了，4并行根本顶不住前中期批量合成，更别说还要byd浴火熔炉的感知锭。
游玩建议加整合包官方群，百科jei任务都整不明白就该求助万能的群u了，群里也有很多攻略。
",Nightc,否,墨丶摆烂丶安
2025年2月16日 16:47,新星工程,8.00 ,"有点nh味，相当于玩nh从TST的流程开始玩，但是没有gt最重要的超频机制(除了紫晶素）。y7门槛的设置十分不合理，我觉得应该把地心钻机和虚相操纵的使用要求放y7前面，不然就小压缩那个b速度16个永恒奇点能忍住不掏的都是神人了。但看在大分子装配，大cpu，大me驱动器的面子上给8。
   地心钻机，可以提高优先级，建议提奇点的13种加下界合金
   虚相操纵，建议和地心钻探弄个独立网络，粗矿对应2/3单位矿，未打磨宝石1单位，不知道怎么算统一1.5m粗矿+两种奇点各一个+20mb液态能 量+10000mb紫晶素=一个对应锭，锭高优先级存到其他网络，然后几个指令缓存器被动下单锭，没有锭的(下界石英之类的）就下单奇点，奇点存别的网络，最重要的，cpu只装一个，不要用多方块的。(一般来说玩过鸿蒙之眼的都会这个，这个还不用伪合成取消下单）
    任务很垃圾，多方块的内容基本没一点信息提示，很多机器机制写在配方里，jei配方得全翻。如果写任务有写研究短篇小说那么用心绝对能成为年轻人的第一款整合包，它的ae2附属能单独拿出去做附属必然是科技包必吃榜
    三级控制电路有单配方减25％耗时的模块化升级
    样板供应器没配方隔离，遇到配方冲突的要多起一台机器了。me机械输入不像nh的直接读网络物品，而是拉取对应数量的缓存，可以shift，alt，ctrl滚轮调一次拉取的数量(1-一百万），一次运输物品太多小心网络能量缓存跟不上黑了(创造能源元件）。me流体输出的缓存是8192000mb*9，可能跑不满并行。
    模块化路由器有玩家模拟的执行模块 可以用于开袋子。
    善用复制机可以解决很多很多矿机盲区，比如大理石和钚。
    尘世维度之门要很多奥利哈钢，不想打几十次盖亚3可以直接掏。
    看看小福利任务，对速通星辉很有帮助，聚星灵井天辉水晶石产星能液与天体水晶石泡分裂可以互相增长。
    有exbot和血魔法都可以装静籁永恒用连点器献血刷星能力的经验，振变时钟效应放大器可以冻住混沌守卫。
早点挂着龙研聚合，速度非常慢，聚到至少10个混沌注入，封包合成用的是标记注入。
    装配线的含流体配方想直接发给运输网络流体，需要给运输网络发一个流体离散器。气体不能直接发给运输网络，需要在二合一接口旁边贴个储罐缓。(错误的，忘记三合一接口了)此外，建议早点做配方要的mek那些气体产线，多挂一点。uel自带高级阻挡。
   还有经典的结构方块伪合成一键发配，不过这个识别不了网络里的物品了，得拿在身上。发gpu和内存的时候可以把接口放到计算机那边，省的来回运。
   封包发给梦魇工作台的用处理模式 ，终极工作台模式只有终极工作台能接收。或者直接接口发
   样板供应器里的样板接口终端是看不见的，如果有废样板把重要的配方卡住了，那你有得找了。
   经验产线烧三钛粉五点经验。
   建造机加扫描机挖矿，参考http://b23.tv/ueRbCuu
   建造机加晶金座产矿，参考
http://b23.tv/tzKwR7I
   重水并行数与过滤升级有关，紫色碎片也是，碳纳米管那些都是，不消耗的并行，催化剂数量也要对应，除了无限元件加me-io端口的
   不要贪图装配线并行多一次做一组，小心算力被卡脖子
   多流体配方别用装配线，有些流体发不到运输网络里，装配线用路由器塞me输入仓可以突破堆叠限制吃到并行，但是要很多压印器，或者普通装配堆8到16并行每个放一个样板，有空的话可以弄个25并特化装配线，可以互相共用一排方块，共用注意流体读取问题，有相同流体的放一列输入仓，再多一个放另一边(熔融金)。
   戴森球中枢能源给大一点，不然吞纠缠点
   机器学习至少堆4个32并行，混沌守卫的核心素，末影人的珍珠，凋零的下界之星都要大量堆
   盖亚头可以主手源质斧副手万箭充能红石琥珀金弓，距离合适一箭爆头秒了，盖亚三和空律没有局内检测掉落，把装备放ae里，终端放饰品，开打的时候开终端拿装备。不要踩红色地雷一般死不了
   混沌辐射核心直接抄反应堆结构，发群文件了
   ae会吞湮灭约束器，试试别的物流
   做一组复制机复制混沌碎片，最多17超频
   水晶块做的非常慢，记得被动挂点并行给多点
   高级释能器的二级燃料，羲和的核心素燃料(注意湮灭约束器)兼星宿的四级燃料建议分别造产线生产
超光速核心挺啥比的，爱做不做
",寻,否,墨丶摆烂丶安
2025年2月16日 16:49,魔艺世界,7.00 ,无,Eleso_Lydian,否,墨丶摆烂丶安
2025年2月16日 16:49,E9E,7.50 ,"总体感受：流程不长，内容还行，好多东西给你限制住了，比如作为一个科技包，贯穿整个科技线的发电方式居然是新生魔艺和自然灵气？？？开局新生魔艺（其实他是科技mod），后面全部要靠它，并且ban了其他产魔源方式，只剩下炼金魔源，算是给你开拓一下思路，不过相应的后期也会简单一些，基本没有挂机元素，比起前作轻量化许多。
游玩建议：要玩的话一定记得自然灵气的灵气一定要供够，建议基地每3x3区块配一个滞留型发生器（是的产灵气也只剩下药水了），不然耗电多了会炸（物理意义，比龙研反应堆还逆天）",Eleso_Lydian,否,墨丶摆烂丶安
2025年2月16日 16:50,E6E,9.50 ,高版本当之无愧的最强专家包，挂机有点多扣0.5，但是其设计不管对于玩家的肝度，坚持力，还是产线设计能力，自动化思路处理都有很大的考验，玩起来特别爽，多方块不多，大部分都很大，而且很好看。毕业物品用五彩祭坛做真的好浪漫，最喜欢星辉魔法了。优化一般般，要是电脑不行做到后期会寸步难行。,Eleso_Lydian,否,墨丶摆烂丶安
2025年2月16日 16:51,E6E,9.50 ,伟大无需多言，各个模组之间深度交错的魔改使得不同模组之间互相限制，同步发展，在某个阶段的需求可以使用多种不同的方案去解决，与dj2是两种完全不同的魔改思路。这就使得e6e有着相当程度的自由性和可重复游玩性。同时作者还开发了不少mod中较为冷门的工具或玩法，例如新生魔艺的德格米和希尔芙，血魔法中的炼金矩阵自动化等。优化较差，中期就能有明显的卡顿。,仄尚,否,墨丶摆烂丶安
2025年2月16日 16:51,EN6E,7.00 ,"E6E的分支版本，美名其曰优化版，这里只做吐槽。首先默认的服务端自动安装脚本有问题，路径填写错误。然后末地由于BetterEnd,BYG,Redirector三个mod之间的兼容问题，几乎百分百会掉刻崩服。Excavation毕业凭证根本无法制作，E6E原版此处使用的是Mod采矿小工具的材料，而En6E修改为IE配方时完全没有测试，生物柴油桶根本无法进入压力室。就算以掉落物方式强行塞入压力室也根本无法合成，Create水洗矿辞配方问题，Pipe与凿子的删除，此外精密构建自动化也有问题，E6E是百分百成功率的配方，En6E改成了两种配方但实际游玩时只能使用到80%成功率的配方。并且1.16AE的体验可以说是比RS还地狱一万倍，无效的阻挡模式，失效的维度卡，匮乏的附属，以至于化学品总线必须手持放射性物质才能标记，JEI填充体验也是地狱级，此版本AE不支持样板流体拖拽与流体物品数量编辑，封包合成又无法编写流体配方，以至于我在编写生物柴油样板时只能填充PnC乙醇+IE植物油或IE乙醇+PnC植物油（可以通过查询原料其中一种液体的用途配方来正常编写）。体验实在糟糕，正常游玩不使用非常规手段甚至无法正常做出毕业物品
作者ZZZank已经在2025年1月23日宣布恢复更新，我将在作者更新后重新品尝并测评",Amr_Khaled,否,墨丶摆烂丶安
2025年2月16日 16:51,色度无尽,6.50 ,大概是想复制e6e等类似的专家包，但是整体思路处理都不是很好，有一种赤石的美感前期没什么感觉，越玩到后期越明显。比如，后期大部分资源都是靠养蜂来，或者说其实从前期开始就有养蜂需求了，但是这个私募作者硬是把蜂场套娃套的特别贵，甚至还硬要你用构思蜂箱产资源。后期数值有点崩坏，玩法比较单一，有一个多方块可以动，挺帅的，就是供起来太难了。优化不太行，后期很卡。,Eleso_Lydian,否,墨丶摆烂丶安
2025年2月16日 16:52,色度无尽2,7.50 ,"机械动力包但塞了一大堆其它模组。
    乍一看像个水槽包，实际上魔改很多，细节处理得也不错，模组之间
    融合得很好，难度适中的同时科技线也足够长，这包的自动化比较偏向世界交互。
    但这包整体就只能说不错，没有什么特别突出或者创新的点。
    缺点是优化太难绷了，掉帧倒是不咋掉帧，但后期总是莫名其妙崩端，不知道为啥。",不要惊惶,否,墨丶摆烂丶安
2025年2月16日 16:52,GTL,8.50 ,"前期任务引导十分详细，且前中期偏向爽包，加强过的蒸汽发电使得前期发电不成问题。同时从mv时期就可以开始大规模使用ae进行自动化，减少了很大程度上的手搓坐牢环节。并且还引入了加强过的laserIO来帮助mv前进行简单的物流传输，使得整个整合包可以完全告别gt的管道，仅在开局使用laserIO和后续使用ae来进行物流自动化。无线电也非常好做，从mv开始就可以批量使用无线电，不用再担心布线还有电压问题。还关闭了污染，淋雨爆炸，以及普通装配线的有序要求，对gt新人来说十分友好，有效降低了入坑门槛。
然而，虽然整合包叫做格雷科技休闲版，但是还是有很多复杂的产线和化工要搭，在mv阶段你需要搭一个简单的聚乙烯产线，hv则需要搭石化木化，聚氯乙烯，以及聚四氟乙烯，ev则需要开始处理第一个大型产线：铂系处理，再往后的化工线就暂且不提了。游玩下来体验类似于半个化工模拟器，尤其是gtm没有引入流体隔离，导致中后期要堆大量化工厂和大化工，往往要堆到1个样板1个化工，也就是两三百台化工的程度。如果你享受搭各种化工产线的话应该会很适合你。
加分点：按需求修改gtlcore的配置文件可以大幅度改善游戏体验，b站有很全面的gtl流程解析（gtl扫盲课），以及整合包的q群讨论环境也较为友好
减分点：容易闪退，很容易闪退
首先是因为ldlib导致的随机崩端，其次是搭巨构的时候建议最后再放主方块，不然极其容易导致崩端",dummybubbles106,否,墨丶摆烂丶安
2025年2月16日 16:55,石头世界,6.00 ,FTB的包。魔改内容不多，内容就是各种科技mod的拼接。用来给各种mod入门没问题。但是对于熟悉的玩家来说，这个包存在各种不平衡不合理不精细的现象。(如Chickens、Project E两个模组可以直接量产一切。)总的来说还算能玩。,Ashina Genichiro,否,墨丶摆烂丶安
2025年2月16日 16:57,astropolis,7.00 ,"这包主要的魔改内容在于几个星球维度，基础资源获取和沉浸工程，前期由于有连锁挖矿，只要多铺机器流程会推进比较快，之后进沉浸工程，发电仅限于热交换发电机的时候会比较坐牢，但是出了mek和ae之后直接起飞，因为这两个模组除了资源获取都没有任何改动，作者做到这应该是开摆了。
不足的是自定义物品材质比较丑，流程太短，而且几个星球的设计都略显单调。有几个模组意义不明，如corail的墓碑，还有一个不知名装饰模组，可能是作者个人喜好。",danRP408,否,墨丶摆烂丶安
